"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CON2";"SMD_Jack";1;"BARREL_JACK";;;
2;"L2";"Choke_SMD_6.3x6.3_H3";1;"33u";;;
3;"C2,C3";"C_0805";2;"18p";;;
4;"C4,C9,C12";"C_0805";3;"1u";;;
5;"C5,C10,C8,C11,C16";"C_0805";5;"100n";;;
6;"C6";"C_0805";1;"10n";;;
7;"CON1";"SW_NKK_G1xJP";1;"AVR-ISP-6";;;
8;"R2,R3";"R_0805";2;"22";;;
9;"R4,R9,R10,R23,R6,R11,R5,R13";"R_0805";8;"10k";;;
10;"RV2,RV1";"R_0603";2;"Varistor_[CG0603MLC-05E_Bourns]";;;
11;"U2";"QFN-44-1EP_7x7mm_Pitch0.5mm";1;"ATMEGA16U4-M-pad-connected";;;
12;"U3";"SOT-223";1;"lm1117";;;
13;"U4,U5,U6";"DRV8805";3;"DRV8805";;;
14;"P4";"USB_Micro_B";1;"USB_OTG";;;
15;"Y1";"Crystal_SMD_3225-4pin_3.2x2.5mm";1;"16M_crystal";;;
16;"F2";"R_1206";1;"2A_Polyfuse";;;
17;"F3,F4,F5";"R_1206";3;"0A125_Polyfuse";;;
18;"D2";"D_1206";1;"D_Schottky_0V7";;;
19;"RN1";"R_Array_Convex_4x0603";1;"1k";;;
20;"C1";"R_2816";1;"33u";;;
21;"C7";"R_2816";1;"330u";;;
22;"D3,D4";"LED_0805";2;"Yellow";;;
23;"F1";"R_1206";1;"0A5_Polyfuse";;;
24;"R7,R8";"R_0805";2;"150";;;
25;"D1";"CD-HD2004";1;"D_Bridge_+-AA";;;
26;"U7";"RGB_LED";1;"RGB_LED";;;
27;"L1";"R_0805";1;"Ferrite_Bead";;;
28;"D5,D6,D7";"D_SOD-323";3;"D_Zener";;;
29;"C13";"R_2816";1;"100u";;;
30;"IN1,OUT1";"molex_micro_fit_3_by_2_right_angle";2;"Molex_micro_fit_3*2";;;
31;"U8,U9,U10,U11";"3.1_hole";4;"hole";;;
32;"U1";"TO-263-7_TabPin8";1;"lm2676_TO-263";;;
33;"C14";"R_0805";1;"10u";;;
34;"R1";"R_0805";1;"1r";;;
35;"U12";"TSSOP-8_4.4x3mm_Pitch0.65mm";1;"PCA9511A";;;
36;"U13";"ferg_graphic";1;"ferg_logo";;;
37;"U14";"SOT-553";1;"NL17SZ126";;;
38;"P1,P2,P3";"JST_XH_S05B-XH-A_05x2.50mm_Angled";3;"CONN_01X05";;;
39;"R12";"R_0805";1;"0R";;;
